exercise_name,parent,leaf,ontology,score
py_fail_course,Call,FunctionCall,parser,5
py_fail_course,ArithmeticExpression,BinaryOperation,parser,5
py_fail_course,LogicalExpression,ComparisonExpression,parser,5
py_fail_course,LogicalExpression,BooleanExpression,parser,5
py_fail_course,Literal,StringLiteral,parser,5
py_fail_course,Literal,BooleanLiteral,parser,4
py_fail_course,NumericLiteral,IntegerLiteral,parser,5
py_fail_course,Operator,=,parser,5
py_fail_course,ComparisonOperator,Less,parser,5
py_fail_course,ComparisonOperator,Larger,parser,5
py_fail_course,ComparisonOperator,==,parser,4
py_fail_course,LogicalOperator,or,parser,5
py_fail_course,Statement,ExpressionStatement,parser,5
py_fail_course,ConditionalStatement,IfElseStatement,parser,5
py_fail_course,AssignmentStatement,SimpleAssignmentStatement,parser,5
py_fail_course,BuiltInFunction,input(),parser,5
py_fail_course,BuiltInFunction,int(),parser,5
py_fail_course,BuiltInFunction,print(),parser,5
py_fail_course,Python,HandlingInput,education,5
py_fail_course,Python,Printing,education,5
py_fail_course,CheckingCondition,IfElseChecking,education,5
py_fail_course,CheckingCondition,BooleanEvaluating,education,5
py_fail_course,ManagingVariable,AssigningVariable,education,5
py_fail_course,HandlingFunction,CallingFunctionLibrary,education,5
py_fail_course,HandlingStandardFunction,CallingStandardFunction,education,5
py_fail_course,HandlingInteger,TransformingToIntType,education,5
py_fail_course,HandlingString,CreatingString,education,4
py_fail_course2,Call,FunctionCall,parser,5
py_fail_course2,ArithmeticExpression,BinaryOperation,parser,5
py_fail_course2,LogicalExpression,ComparisonExpression,parser,5
py_fail_course2,LogicalExpression,BooleanExpression,parser,5
py_fail_course2,Literal,StringLiteral,parser,5
py_fail_course2,Literal,BooleanLiteral,parser,5
py_fail_course2,NumericLiteral,IntegerLiteral,parser,5
py_fail_course2,Operator,=,parser,5
py_fail_course2,ComparisonOperator,Less,parser,5
py_fail_course2,ComparisonOperator,==,parser,5
py_fail_course2,LogicalOperator,or,parser,5
py_fail_course2,Statement,ExpressionStatement,parser,5
py_fail_course2,ConditionalStatement,IfElseStatement,parser,5
py_fail_course2,AssignmentStatement,SimpleAssignmentStatement,parser,5
py_fail_course2,BuiltInFunction,input(),parser,5
py_fail_course2,BuiltInFunction,int(),parser,5
py_fail_course2,BuiltInFunction,print(),parser,5
py_fail_course2,Python,Printing,education,5
py_fail_course2,Python,HandlingInput,education,5
py_fail_course2,CheckingCondition,IfElseChecking,education,5
py_fail_course2,CheckingCondition,BooleanEvaluating,education,5
py_fail_course2,ManagingVariable,AssigningVariable,education,5
py_fail_course2,HandlingFunction,CallingFunctionLibrary,education,5
py_fail_course2,HandlingStandardFunction,CallingStandardFunction,education,5
py_fail_course2,HandlingInteger,TransformingToIntType,education,5
py_fail_course2,HandlingString,CreatingString,education,5
py_fail_course2,HandlingString,TransformingToStringType,education,4
py_fail_course3,Call,FunctionCall,parser,5
py_fail_course3,ArithmeticExpression,BinaryOperation,parser,5
py_fail_course3,ArithmeticExpression,UnaryOperation,parser,5
py_fail_course3,LogicalExpression,ComparisonExpression,parser,5
py_fail_course3,LogicalExpression,BooleanExpression,parser,5
py_fail_course3,Literal,StringLiteral,parser,5
py_fail_course3,Literal,BooleanLiteral,parser,5
py_fail_course3,NumericLiteral,IntegerLiteral,parser,4
py_fail_course3,Operator,=,parser,5
py_fail_course3,ComparisonOperator,Larger,parser,5
py_fail_course3,ComparisonOperator,==,parser,5
py_fail_course3,LogicalOperator,not,parser,5
py_fail_course3,Statement,ExpressionStatement,parser,5
py_fail_course3,ConditionalStatement,IfElseStatement,parser,5
py_fail_course3,AssignmentStatement,SimpleAssignmentStatement,parser,5
py_fail_course3,BuiltInFunction,input(),parser,5
py_fail_course3,BuiltInFunction,int(),parser,5
py_fail_course3,BuiltInFunction,print(),parser,5
py_fail_course3,Python,Printing,education,5
py_fail_course3,Python,HandlingInput,education,5
py_fail_course3,CheckingCondition,IfElseChecking,education,5
py_fail_course3,CheckingCondition,BooleanEvaluating,education,5
py_fail_course3,ManagingVariable,AssigningVariable,education,5
py_fail_course3,HandlingFunction,CallingFunctionLibrary,education,5
py_fail_course3,HandlingStandardFunction,CallingStandardFunction,education,5
py_fail_course3,HandlingInteger,TransformingToIntType,education,5
py_fail_course3,HandlingString,CreatingString,education,4
py_phone_age,Call,FunctionCall,parser,5
py_phone_age,ArithmeticExpression,BinaryOperation,parser,5
py_phone_age,LogicalExpression,ComparisonExpression,parser,5
py_phone_age,LogicalExpression,BooleanExpression,parser,5
py_phone_age,Literal,StringLiteral,parser,5
py_phone_age,Literal,BooleanLiteral,parser,5
py_phone_age,NumericLiteral,IntegerLiteral,parser,5
py_phone_age,Operator,=,parser,5
py_phone_age,ComparisonOperator,LargerOrEqual,parser,5
py_phone_age,ComparisonOperator,==,parser,5
py_phone_age,LogicalOperator,or,parser,5
py_phone_age,Statement,ExpressionStatement,parser,4
py_phone_age,ConditionalStatement,IfStatement,parser,5
py_phone_age,ConditionalStatement,IfElseStatement,parser,5
py_phone_age,AssignmentStatement,SimpleAssignmentStatement,parser,5
py_phone_age,BuiltInFunction,input(),parser,5
py_phone_age,BuiltInFunction,int(),parser,5
py_phone_age,BuiltInFunction,print(),parser,5
py_phone_age,Python,Printing,education,5
py_phone_age,Python,HandlingInput,education,5
py_phone_age,CheckingCondition,IfElseChecking,education,5
py_phone_age,CheckingCondition,BooleanEvaluating,education,5
py_phone_age,ManagingVariable,AssigningVariable,education,5
py_phone_age,HandlingFunction,CallingFunctionLibrary,education,5
py_phone_age,HandlingStandardFunction,CallingStandardFunction,education,5
py_phone_age,HandlingInteger,TransformingToIntType,education,5
py_phone_age,HandlingString,CreatingString,education,4
py_phone_age2,Call,FunctionCall,parser,5
py_phone_age2,LogicalExpression,ComparisonExpression,parser,5
py_phone_age2,LogicalExpression,BooleanExpression,parser,5
py_phone_age2,Literal,StringLiteral,parser,5
py_phone_age2,Literal,BooleanLiteral,parser,5
py_phone_age2,NumericLiteral,IntegerLiteral,parser,5
py_phone_age2,Operator,=,parser,5
py_phone_age2,ComparisonOperator,==,parser,5
py_phone_age2,LogicalOperator,or,parser,5
py_phone_age2,LogicalOperator,not,parser,5
py_phone_age2,Statement,ExpressionStatement,parser,5
py_phone_age2,ConditionalStatement,IfElseStatement,parser,5
py_phone_age2,AssignmentStatement,SimpleAssignmentStatement,parser,5
py_phone_age2,BuiltInFunction,input(),parser,5
py_phone_age2,BuiltInFunction,int(),parser,5
py_phone_age2,BuiltInFunction,print(),parser,5
py_phone_age2,Python,Printing,education,5
py_phone_age2,Python,HandlingInput,education,5
py_phone_age2,CheckingCondition,IfElseChecking,education,5
py_phone_age2,CheckingCondition,BooleanEvaluating,education,5
py_phone_age2,ManagingVariable,AssigningVariable,education,5
py_phone_age2,HandlingFunction,CallingFunctionLibrary,education,5
py_phone_age2,HandlingStandardFunction,CallingStandardFunction,education,5
py_phone_age2,HandlingInteger,TransformingToIntType,education,5
py_phone_age2,HandlingString,CreatingString,education,5
py_rent_car,Call,FunctionCall,parser,5
py_rent_car,ArithmeticExpression,BinaryOperation,parser,5
py_rent_car,LogicalExpression,ComparisonExpression,parser,5
py_rent_car,LogicalExpression,BooleanExpression,parser,5
py_rent_car,Literal,StringLiteral,parser,5
py_rent_car,Literal,BooleanLiteral,parser,5
py_rent_car,NumericLiteral,IntegerLiteral,parser,5
py_rent_car,Operator,=,parser,5
py_rent_car,ComparisonOperator,LargerOrEqual,parser,5
py_rent_car,ComparisonOperator,==,parser,5
py_rent_car,LogicalOperator,and,parser,5
py_rent_car,Statement,ExpressionStatement,parser,5
py_rent_car,ConditionalStatement,IfElseStatement,parser,5
py_rent_car,AssignmentStatement,SimpleAssignmentStatement,parser,5
py_rent_car,BuiltInFunction,input(),parser,5
py_rent_car,BuiltInFunction,int(),parser,5
py_rent_car,BuiltInFunction,print(),parser,5
py_rent_car,Python,Printing,education,5
py_rent_car,Python,HandlingInput,education,5
py_rent_car,CheckingCondition,IfElseChecking,education,5
py_rent_car,CheckingCondition,BooleanEvaluating,education,5
py_rent_car,ManagingVariable,AssigningVariable,education,5
py_rent_car,HandlingFunction,CallingFunctionLibrary,education,5
py_rent_car,HandlingStandardFunction,CallingStandardFunction,education,5
py_rent_car,HandlingInteger,TransformingToIntType,education,5
py_rent_car,HandlingString,CreatingString,education,4
py_rent_car2,Call,FunctionCall,parser,5
py_rent_car2,ArithmeticExpression,BinaryOperation,parser,5
py_rent_car2,ArithmeticExpression,UnaryOperation,parser,5
py_rent_car2,LogicalExpression,ComparisonExpression,parser,5
py_rent_car2,LogicalExpression,BooleanExpression,parser,5
py_rent_car2,Literal,StringLiteral,parser,5
py_rent_car2,Literal,BooleanLiteral,parser,5
py_rent_car2,NumericLiteral,IntegerLiteral,parser,5
py_rent_car2,Operator,=,parser,5
py_rent_car2,ComparisonOperator,LargerOrEqual,parser,5
py_rent_car2,ComparisonOperator,==,parser,5
py_rent_car2,LogicalOperator,and,parser,5
py_rent_car2,LogicalOperator,not,parser,5
py_rent_car2,Statement,ExpressionStatement,parser,5
py_rent_car2,ConditionalStatement,IfElseStatement,parser,5
py_rent_car2,AssignmentStatement,SimpleAssignmentStatement,parser,5
py_rent_car2,BuiltInFunction,input(),parser,5
py_rent_car2,BuiltInFunction,int(),parser,5
py_rent_car2,BuiltInFunction,print(),parser,5
py_rent_car2,Python,Printing,education,5
py_rent_car2,Python,HandlingInput,education,5
py_rent_car2,CheckingCondition,IfElseChecking,education,5
py_rent_car2,CheckingCondition,BooleanEvaluating,education,5
py_rent_car2,ManagingVariable,AssigningVariable,education,5
py_rent_car2,HandlingFunction,CallingFunctionLibrary,education,5
py_rent_car2,HandlingStandardFunction,CallingStandardFunction,education,5
py_rent_car2,HandlingInteger,TransformingToIntType,education,5
py_rent_car2,HandlingString,CreatingString,education,4
py_rent_car3,Call,FunctionCall,parser,5
py_rent_car3,ArithmeticExpression,BinaryOperation,parser,5
py_rent_car3,LogicalExpression,ComparisonExpression,parser,5
py_rent_car3,LogicalExpression,BooleanExpression,parser,5
py_rent_car3,Literal,StringLiteral,parser,5
py_rent_car3,Literal,BooleanLiteral,parser,5
py_rent_car3,NumericLiteral,IntegerLiteral,parser,5
py_rent_car3,Operator,=,parser,5
py_rent_car3,ComparisonOperator,LargerOrEqual,parser,5
py_rent_car3,ComparisonOperator,==,parser,5
py_rent_car3,LogicalOperator,and,parser,5
py_rent_car3,LogicalOperator,or,parser,5
py_rent_car3,Statement,ExpressionStatement,parser,5
py_rent_car3,ConditionalStatement,IfStatement,parser,4
py_rent_car3,ConditionalStatement,IfElseStatement,parser,5
py_rent_car3,AssignmentStatement,SimpleAssignmentStatement,parser,5
py_rent_car3,BuiltInFunction,input(),parser,5
py_rent_car3,BuiltInFunction,int(),parser,5
py_rent_car3,BuiltInFunction,print(),parser,5
py_rent_car3,Python,Printing,education,5
py_rent_car3,Python,HandlingInput,education,5
py_rent_car3,CheckingCondition,IfElseChecking,education,5
py_rent_car3,CheckingCondition,IfChecking,education,5
py_rent_car3,CheckingCondition,BooleanEvaluating,education,5
py_rent_car3,ManagingVariable,AssigningVariable,education,5
py_rent_car3,HandlingFunction,CallingFunctionLibrary,education,5
py_rent_car3,HandlingStandardFunction,CallingStandardFunction,education,5
py_rent_car3,HandlingInteger,TransformingToIntType,education,5
py_rent_car3,HandlingString,CreatingString,education,4
py_check_age,SubscriptExpression,IndexingExpression,parser,5
py_check_age,Call,FunctionCall,parser,5
py_check_age,ArithmeticExpression,BinaryOperation,parser,5
py_check_age,LogicalExpression,ComparisonExpression,parser,5
py_check_age,LogicalExpression,BooleanExpression,parser,5
py_check_age,Literal,StringLiteral,parser,5
py_check_age,NumericLiteral,IntegerLiteral,parser,5
py_check_age,LiteralCollection,ListLiteral,parser,4
py_check_age,Error,IndexError,parser,5
py_check_age,Error,ValueError,parser,5
py_check_age,StringMethod,split(),parser,5
py_check_age,Operator,=,parser,5
py_check_age,ComparisonOperator,LessOrEqual,parser,5
py_check_age,ComparisonOperator,LargerOrEqual,parser,5
py_check_age,LogicalOperator,and,parser,5
py_check_age,ArtithmeticOperator,+,parser,5
py_check_age,Statement,ExpressionStatement,parser,5
py_check_age,ConditionalStatement,IfElseStatement,parser,5
py_check_age,ExceptionHandlingStatement,TryStatement,parser,5
py_check_age,AssignmentStatement,SimpleAssignmentStatement,parser,5
py_check_age,DefinitionStatement,FunctionDefinition,parser,5
py_check_age,BuiltInFunction,input(),parser,5
py_check_age,BuiltInFunction,int(),parser,5
py_check_age,BuiltInFunction,print(),parser,5
py_check_age,Python,Concatenation,education,4
py_check_age,Python,Printing,education,5
py_check_age,Python,HandlingInput,education,5
py_check_age,CheckingCondition,IfElseChecking,education,5
py_check_age,CheckingCondition,BooleanEvaluating,education,4
py_check_age,ManagingVariable,AssigningVariable,education,4
py_check_age,HandlingFunction,CallingFunctionLibrary,education,5
py_check_age,HandlingStandardFunction,CallingStandardFunction,education,5
py_check_age,HandlingStandardFunction,DefiningStandardFunction,education,5
py_check_age,HandlingString,SplittingString,education,5
py_check_age,HandlingInteger,TransformingToIntType,education,5
py_check_age,HandlingString,CreatingString,education,4
py_check_age,HandlingList,CreatingList,education,4
py_check_age,HandlingList,IndexingList,education,5
py_check_age,HandlingString,IndexingString,education,4
py_check_age,HandlingError,HandlingSpecificError,education,5
py_check_age2,SubscriptExpression,IndexingExpression,parser,5
py_check_age2,Call,FunctionCall,parser,5
py_check_age2,ArithmeticExpression,BinaryOperation,parser,5
py_check_age2,LogicalExpression,ComparisonExpression,parser,5
py_check_age2,LogicalExpression,BooleanExpression,parser,5
py_check_age2,Literal,StringLiteral,parser,5
py_check_age2,Literal,BooleanLiteral,parser,5
py_check_age2,NumericLiteral,IntegerLiteral,parser,5
py_check_age2,LiteralCollection,ListLiteral,parser,4
py_check_age2,Error,IndexError,parser,5
py_check_age2,Error,ValueError,parser,5
py_check_age2,StringMethod,split(),parser,5
py_check_age2,Operator,=,parser,5
py_check_age2,ComparisonOperator,LessOrEqual,parser,5
py_check_age2,ComparisonOperator,LargerOrEqual,parser,5
py_check_age2,LogicalOperator,and,parser,5
py_check_age2,ArtithmeticOperator,+,parser,5
py_check_age2,Statement,ExpressionStatement,parser,5
py_check_age2,ConditionalStatement,IfElseStatement,parser,5
py_check_age2,IterationStatement,WhileStatement,parser,5
py_check_age2,ExceptionHandlingStatement,TryStatement,parser,5
py_check_age2,AssignmentStatement,SimpleAssignmentStatement,parser,5
py_check_age2,DefinitionStatement,FunctionDefinition,parser,5
py_check_age2,BuiltInFunction,input(),parser,5
py_check_age2,BuiltInFunction,int(),parser,5
py_check_age2,BuiltInFunction,print(),parser,5
py_check_age2,Python,Concatenation,education,4
py_check_age2,Python,Printing,education,5
py_check_age2,Python,HandlingInput,education,5
py_check_age2,CheckingCondition,IfElseChecking,education,5
py_check_age2,CheckingCondition,BooleanEvaluating,education,4
py_check_age2,CheckingInWhileLoop,IfElseCheckingInWhileLoop,education,5
py_check_age2,ManagingVariable,AssigningVariable,education,5
py_check_age2,ManagingVariable,UpdatingVariable,education,5
py_check_age2,HandlingFunction,CallingFunctionLibrary,education,5
py_check_age2,HandlingStandardFunction,CallingStandardFunction,education,5
py_check_age2,HandlingStandardFunction,DefiningStandardFunction,education,5
py_check_age2,NonNestedIteration,SingleWhileLoopIteration,education,5
py_check_age2,HandlingString,SplittingString,education,5
py_check_age2,HandlingInteger,TransformingToIntType,education,5
py_check_age2,HandlingString,CreatingString,education,4
py_check_age2,HandlingList,CreatingList,education,4
py_check_age2,HandlingList,IndexingList,education,5
py_check_age2,WhileLoopWithUpdate,WhileLoopWithListIndexing,education,5
py_check_age2,HandlingString,IndexingString,education,4
py_check_age2,HandlingError,HandlingSpecificError,education,5
py_check_age2,HandlingException,TryExceptBlock,,5
py_three_boolean,Call,FunctionCall,parser,5
py_three_boolean,LogicalExpression,ComparisonExpression,parser,5
py_three_boolean,LogicalExpression,BooleanExpression,parser,5
py_three_boolean,Literal,StringLiteral,parser,5
py_three_boolean,Literal,BooleanLiteral,parser,5
py_three_boolean,NumericLiteral,IntegerLiteral,parser,5
py_three_boolean,Operator,=,parser,5
py_three_boolean,ComparisonOperator,==,parser,5
py_three_boolean,LogicalOperator,or,parser,5
py_three_boolean,Statement,ExpressionStatement,parser,4
py_three_boolean,ConditionalStatement,IfElseStatement,parser,5
py_three_boolean,AssignmentStatement,SimpleAssignmentStatement,parser,5
py_three_boolean,BuiltInFunction,input(),parser,5
py_three_boolean,BuiltInFunction,int(),parser,5
py_three_boolean,BuiltInFunction,print(),parser,5
py_three_boolean,Python,HandlingInput,education,5
py_three_boolean,Python,Printing,education,5
py_three_boolean,CheckingCondition,IfElseChecking,education,5
py_three_boolean,CheckingCondition,BooleanEvaluating,education,5
py_three_boolean,ManagingVariable,AssigningVariable,education,5
py_three_boolean,HandlingFunction,CallingFunctionLibrary,education,5
py_three_boolean,HandlingStandardFunction,CallingStandardFunction,education,5
py_three_boolean,HandlingInteger,TransformingToIntType,education,5
py_three_boolean,HandlingString,CreatingString,education,4
py_three_boolean2,Call,FunctionCall,parser,5
py_three_boolean2,LogicalExpression,ComparisonExpression,parser,5
py_three_boolean2,LogicalExpression,BooleanExpression,parser,5
py_three_boolean2,Literal,StringLiteral,parser,5
py_three_boolean2,Literal,BooleanLiteral,parser,5
py_three_boolean2,NumericLiteral,IntegerLiteral,parser,5
py_three_boolean2,Operator,=,parser,5
py_three_boolean2,ComparisonOperator,==,parser,5
py_three_boolean2,LogicalOperator,and,parser,5
py_three_boolean2,LogicalOperator,not,parser,5
py_three_boolean2,Statement,ExpressionStatement,parser,5
py_three_boolean2,ConditionalStatement,IfElseStatement,parser,5
py_three_boolean2,AssignmentStatement,SimpleAssignmentStatement,parser,5
py_three_boolean2,BuiltInFunction,input(),parser,5
py_three_boolean2,BuiltInFunction,int(),parser,5
py_three_boolean2,BuiltInFunction,print(),parser,5
py_three_boolean2,Python,Printing,education,4
py_three_boolean2,Python,HandlingInput,education,5
py_three_boolean2,CheckingCondition,IfElseChecking,education,5
py_three_boolean2,CheckingCondition,BooleanEvaluating,education,5
py_three_boolean2,ManagingVariable,AssigningVariable,education,5
py_three_boolean2,HandlingFunction,CallingFunctionLibrary,education,5
py_three_boolean2,HandlingStandardFunction,CallingStandardFunction,education,5
py_three_boolean2,HandlingInteger,TransformingToIntType,education,5
py_three_boolean2,HandlingString,CreatingString,education,4
py_three_boolean2,HandlingString,TransformingToStringType,education,4
py_three_boolean3,Call,FunctionCall,parser,5
py_three_boolean3,LogicalExpression,ComparisonExpression,parser,5
py_three_boolean3,LogicalExpression,BooleanExpression,parser,5
py_three_boolean3,Literal,StringLiteral,parser,5
py_three_boolean3,Literal,BooleanLiteral,parser,5
py_three_boolean3,NumericLiteral,IntegerLiteral,parser,5
